ADDRESS,VOLUME,FIRST_NUMBER,LAST_NUMBER,PROB
0x00000000000000000000000000000000000000,73,1578189,1594271,0.16055 + 0.00028 %
0x00000000000000000000000000000000000000,12392,1594272,1615116,0.16055 + 0.04790 %
0x00000000000000000000000000000000000000,5,1615117,1631173,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,1631174,1647228,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1647229,1663283,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,4937,1663284,1681246,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,0,1681247,1697301,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1697302,1713356,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,7,1713357,1729414,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,18,1729415,1745476,0.16055 + 0.00007 %
0x00000000000000000000000000000000000000,1198,1745477,1761994,0.16055 + 0.00463 %
0x00000000000000000000000000000000000000,3238,1761995,1779301,0.16055 + 0.01252 %
0x00000000000000000000000000000000000000,1846,1779302,1796070,0.16055 + 0.00714 %
0x00000000000000000000000000000000000000,4937,1796071,1814033,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,87,1814034,1830122,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,2472,1830123,1847133,0.16055 + 0.00955 %
0x00000000000000000000000000000000000000,0,1847134,1863188,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,277632,1863189,1986555,0.16055 + 1.07312 %
0x00000000000000000000000000000000000000,6,1986556,2002612,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,2002613,2018667,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,118,2018668,2034768,0.16055 + 0.00046 %
0x00000000000000000000000000000000000000,88,2034769,2050857,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,0,2050858,2066912,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,94,2066913,2083003,0.16055 + 0.00036 %
0x00000000000000000000000000000000000000,0,2083004,2099058,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2767,2099059,2116183,0.16055 + 0.01070 %
0x00000000000000000000000000000000000000,2667,2116184,2133269,0.16055 + 0.01031 %
0x00000000000000000000000000000000000000,88,2133270,2149358,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,2,2149359,2165414,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,2165415,2181469,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,2181470,2197524,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,68842,2197525,2240188,0.16055 + 0.26609 %
0x00000000000000000000000000000000000000,5841,2240189,2258501,0.16055 + 0.02258 %
0x00000000000000000000000000000000000000,507,2258502,2274752,0.16055 + 0.00196 %
0x00000000000000000000000000000000000000,125014,2274753,2339128,0.16055 + 0.48321 %
0x00000000000000000000000000000000000000,0,2339129,2355183,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1741,2355184,2371911,0.16055 + 0.00673 %
0x00000000000000000000000000000000000000,10680,2371912,2392094,0.16055 + 0.04128 %
0x00000000000000000000000000000000000000,0,2392095,2408149,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,43027,2408150,2440835,0.16055 + 0.16631 %
0x00000000000000000000000000000000000000,9,2440836,2456894,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,42,2456895,2472965,0.16055 + 0.00016 %
0x00000000000000000000000000000000000000,5422,2472966,2491116,0.16055 + 0.02096 %
0x00000000000000000000000000000000000000,2,2491117,2507172,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,11,2507173,2523231,0.16055 + 0.00004 %
0x00000000000000000000000000000000000000,1,2523232,2539286,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,7,2539287,2555344,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,0,2555345,2571399,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,29121,2571400,2598710,0.16055 + 0.11256 %
0x00000000000000000000000000000000000000,69052,2598711,2641455,0.16055 + 0.26690 %
0x00000000000000000000000000000000000000,8,2641456,2657513,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,0,2657514,2673568,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,2673569,2689623,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,5077,2689624,2707640,0.16055 + 0.01962 %
0x00000000000000000000000000000000000000,0,2707641,2723695,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,2723696,2739750,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,2739751,2755805,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,197,2755806,2771936,0.16055 + 0.00076 %
0x00000000000000000000000000000000000000,0,2771937,2787991,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,37013,2787992,2818353,0.16055 + 0.14306 %
0x00000000000000000000000000000000000000,159,2818354,2834470,0.16055 + 0.00061 %
0x00000000000000000000000000000000000000,0,2834471,2850525,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,97,2850526,2866618,0.16055 + 0.00037 %
0x00000000000000000000000000000000000000,0,2866619,2882673,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,7,2882674,2898731,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,0,2898732,2914786,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,757390,2914787,3223592,0.16055 + 2.92751 %
0x00000000000000000000000000000000000000,15,3223593,3239653,0.16055 + 0.00006 %
0x00000000000000000000000000000000000000,273,3239654,3255814,0.16055 + 0.00106 %
0x00000000000000000000000000000000000000,0,3255815,3271869,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,3271870,3287924,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1587,3287925,3304592,0.16055 + 0.00613 %
0x00000000000000000000000000000000000000,65,3304593,3320672,0.16055 + 0.00025 %
0x00000000000000000000000000000000000000,0,3320673,3336727,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,13,3336728,3352787,0.16055 + 0.00005 %
0x00000000000000000000000000000000000000,16,3352788,3368848,0.16055 + 0.00006 %
0x00000000000000000000000000000000000000,0,3368849,3384903,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,3384904,3400958,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2083,3400959,3417818,0.16055 + 0.00805 %
0x00000000000000000000000000000000000000,0,3417819,3433873,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,163,3433874,3449991,0.16055 + 0.00063 %
0x00000000000000000000000000000000000000,35,3449992,3466060,0.16055 + 0.00014 %
0x00000000000000000000000000000000000000,0,3466061,3482115,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,98903,3482116,3536399,0.16055 + 0.38229 %
0x00000000000000000000000000000000000000,1,3536400,3552454,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1102,3552455,3568935,0.16055 + 0.00426 %
0x00000000000000000000000000000000000000,0,3568936,3584990,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,4935,3584991,3602953,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,0,3602954,3619008,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,26,3619009,3635073,0.16055 + 0.00010 %
0x00000000000000000000000000000000000000,0,3635074,3651128,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,138,3651129,3667236,0.16055 + 0.00053 %
0x00000000000000000000000000000000000000,1,3667237,3683291,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,3683292,3699346,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,3,3699347,3715402,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,3715403,3731457,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,841,3731458,3747837,0.16055 + 0.00325 %
0x00000000000000000000000000000000000000,9,3747838,3763896,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,1194,3763897,3780413,0.16055 + 0.00462 %
0x00000000000000000000000000000000000000,20,3780414,3796476,0.16055 + 0.00008 %
0x00000000000000000000000000000000000000,0,3796477,3812531,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,19,3812532,3828593,0.16055 + 0.00007 %
0x00000000000000000000000000000000000000,6,3828594,3844650,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,3254,3844651,3861963,0.16055 + 0.01258 %
0x00000000000000000000000000000000000000,1489,3861964,3878594,0.16055 + 0.00576 %
0x00000000000000000000000000000000000000,20,3878595,3894657,0.16055 + 0.00008 %
0x00000000000000000000000000000000000000,28,3894658,3910723,0.16055 + 0.00011 %
0x00000000000000000000000000000000000000,0,3910724,3926778,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,31,3926779,3942845,0.16055 + 0.00012 %
0x00000000000000000000000000000000000000,3704,3942846,3960332,0.16055 + 0.01432 %
0x00000000000000000000000000000000000000,19897,3960333,3984078,0.16055 + 0.07691 %
0x00000000000000000000000000000000000000,0,3984079,4000133,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,70973,4000134,4043621,0.16055 + 0.27433 %
0x00000000000000000000000000000000000000,4,4043622,4059678,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,600,4059679,4075965,0.16055 + 0.00232 %
0x00000000000000000000000000000000000000,0,4075966,4092020,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,4092021,4108075,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,6299,4108076,4126565,0.16055 + 0.02435 %
0x00000000000000000000000000000000000000,0,4126566,4142620,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,10388,4142621,4162690,0.16055 + 0.04015 %
0x00000000000000000000000000000000000000,2,4162691,4178746,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,4178747,4194801,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,10,4194802,4210860,0.16055 + 0.00004 %
0x00000000000000000000000000000000000000,8559,4210861,4230223,0.16055 + 0.03308 %
0x00000000000000000000000000000000000000,0,4230224,4246278,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,920174,4246279,4618004,0.16055 + 3.55671 %
0x00000000000000000000000000000000000000,0,4618005,4634059,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,3868,4634060,4651609,0.16055 + 0.01495 %
0x00000000000000000000000000000000000000,16457,4651610,4674025,0.16055 + 0.06361 %
0x00000000000000000000000000000000000000,112,4674026,4690123,0.16055 + 0.00043 %
0x00000000000000000000000000000000000000,204,4690124,4706257,0.16055 + 0.00079 %
0x00000000000000000000000000000000000000,165,4706258,4722376,0.16055 + 0.00064 %
0x00000000000000000000000000000000000000,0,4722377,4738431,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,4738432,4754486,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2396,4754487,4771467,0.16055 + 0.00926 %
0x00000000000000000000000000000000000000,414,4771468,4787682,0.16055 + 0.00160 %
0x00000000000000000000000000000000000000,16421,4787683,4810084,0.16055 + 0.06347 %
0x00000000000000000000000000000000000000,0,4810085,4826139,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,28,4826140,4842205,0.16055 + 0.00011 %
0x00000000000000000000000000000000000000,5,4842206,4858262,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,2,4858263,4874318,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,4874319,4890373,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,4890374,4906428,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,133849,4906429,4974219,0.16055 + 0.51736 %
0x00000000000000000000000000000000000000,2,4974220,4990275,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,136,4990276,5006383,0.16055 + 0.00053 %
0x00000000000000000000000000000000000000,1,5006384,5022438,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,22399,5022439,5047151,0.16055 + 0.08658 %
0x00000000000000000000000000000000000000,0,5047152,5063206,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,5063207,5079261,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2,5079262,5095317,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,5095318,5111372,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,163,5111373,5127490,0.16055 + 0.00063 %
0x00000000000000000000000000000000000000,4,5127491,5143547,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,5143548,5159602,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,5159603,5175657,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1716,5175658,5192375,0.16055 + 0.00663 %
0x00000000000000000000000000000000000000,0,5192376,5208430,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,226,5208431,5224572,0.16055 + 0.00087 %
0x00000000000000000000000000000000000000,88,5224573,5240661,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,2954,5240662,5257858,0.16055 + 0.01142 %
0x00000000000000000000000000000000000000,60,5257859,5273936,0.16055 + 0.00023 %
0x00000000000000000000000000000000000000,808,5273937,5290303,0.16055 + 0.00312 %
0x00000000000000000000000000000000000000,0,5290304,5306358,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,42787,5306359,5338951,0.16055 + 0.16538 %
0x00000000000000000000000000000000000000,90,5338952,5355041,0.16055 + 0.00035 %
0x00000000000000000000000000000000000000,0,5355042,5371096,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,629,5371097,5387394,0.16055 + 0.00243 %
0x00000000000000000000000000000000000000,8228,5387395,5406629,0.16055 + 0.03180 %
0x00000000000000000000000000000000000000,0,5406630,5422684,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,21,5422685,5438747,0.16055 + 0.00008 %
0x00000000000000000000000000000000000000,10,5438748,5454806,0.16055 + 0.00004 %
0x00000000000000000000000000000000000000,31207,5454807,5482923,0.16055 + 0.12062 %
0x00000000000000000000000000000000000000,1,5482924,5498978,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,5,5498979,5515035,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,5515036,5531090,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1407,5531091,5547689,0.16055 + 0.00544 %
0x00000000000000000000000000000000000000,5551,5547690,5565890,0.16055 + 0.02146 %
0x00000000000000000000000000000000000000,1,5565891,5581945,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,3853,5581946,5599489,0.16055 + 0.01489 %
0x00000000000000000000000000000000000000,1,5599490,5615544,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,5615545,5631599,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,5631600,5647654,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,5647655,5663709,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,5663710,5679764,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,3693,5679765,5697246,0.16055 + 0.01427 %
0x00000000000000000000000000000000000000,650,5697247,5713552,0.16055 + 0.00251 %
0x00000000000000000000000000000000000000,361,5713553,5729747,0.16055 + 0.00140 %
0x00000000000000000000000000000000000000,3,5729748,5745803,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,8228,5745804,5765038,0.16055 + 0.03180 %
0x00000000000000000000000000000000000000,2447,5765039,5782039,0.16055 + 0.00946 %
0x00000000000000000000000000000000000000,0,5782040,5798094,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,230,5798095,5814238,0.16055 + 0.00089 %
0x00000000000000000000000000000000000000,0,5814239,5830293,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,14679,5830294,5852022,0.16055 + 0.05674 %
0x00000000000000000000000000000000000000,65498,5852023,5893394,0.16055 + 0.25317 %
0x00000000000000000000000000000000000000,1332,5893395,5909964,0.16055 + 0.00515 %
0x00000000000000000000000000000000000000,2416,5909965,5926953,0.16055 + 0.00934 %
0x00000000000000000000000000000000000000,4315,5926954,5944676,0.16055 + 0.01668 %
0x00000000000000000000000000000000000000,174,5944677,5960798,0.16055 + 0.00067 %
0x00000000000000000000000000000000000000,0,5960799,5976853,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,20,5976854,5992916,0.16055 + 0.00008 %
0x00000000000000000000000000000000000000,4,5992917,6008973,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,6,6008974,6025030,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,6025031,6041085,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,6041086,6057140,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2,6057141,6073196,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,4937,6073197,6091159,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,2,6091160,6107215,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,0,6107216,6123270,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,4937,6123271,6141233,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,0,6141234,6157288,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,15,6157289,6173349,0.16055 + 0.00006 %
0x00000000000000000000000000000000000000,88,6173350,6189438,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,0,6189439,6205493,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,6205494,6221548,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,11237,6221549,6241946,0.16055 + 0.04343 %
0x00000000000000000000000000000000000000,0,6241947,6258001,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,6258002,6274056,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,4,6274057,6290113,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,239315,6290114,6398669,0.16055 + 0.92501 %
0x00000000000000000000000000000000000000,15415,6398670,6420682,0.16055 + 0.05958 %
0x00000000000000000000000000000000000000,599,6420683,6436969,0.16055 + 0.00232 %
0x00000000000000000000000000000000000000,0,6436970,6453024,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2,6453025,6469080,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,162,6469081,6485198,0.16055 + 0.00063 %
0x00000000000000000000000000000000000000,2,6485199,6501254,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,1634,6501255,6517941,0.16055 + 0.00632 %
0x00000000000000000000000000000000000000,422,6517942,6534159,0.16055 + 0.00163 %
0x00000000000000000000000000000000000000,8,6534160,6550217,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,1,6550218,6566272,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,6566273,6582327,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,6582328,6598382,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2,6598383,6614438,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,15770,6614439,6636589,0.16055 + 0.06096 %
0x00000000000000000000000000000000000000,12,6636590,6652649,0.16055 + 0.00005 %
0x00000000000000000000000000000000000000,195701,6652650,6744347,0.16055 + 0.75643 %
0x00000000000000000000000000000000000000,5013,6744348,6762340,0.16055 + 0.01938 %
0x00000000000000000000000000000000000000,0,6762341,6778395,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,6778396,6794450,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,884,6794451,6810847,0.16055 + 0.00342 %
0x00000000000000000000000000000000000000,99021,6810848,6865176,0.16055 + 0.38274 %
0x00000000000000000000000000000000000000,7980,6865177,6884316,0.16055 + 0.03084 %
0x00000000000000000000000000000000000000,42,6884317,6900387,0.16055 + 0.00016 %
0x00000000000000000000000000000000000000,1226088,6900388,7390356,0.16055 + 4.73914 %
0x00000000000000000000000000000000000000,361,7390357,7406551,0.16055 + 0.00140 %
0x00000000000000000000000000000000000000,4937,7406552,7424514,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,1658,7424515,7441210,0.16055 + 0.00641 %
0x00000000000000000000000000000000000000,31,7441211,7457277,0.16055 + 0.00012 %
0x00000000000000000000000000000000000000,0,7457278,7473332,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,7473333,7489387,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,7489388,7505442,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,779,7505443,7521798,0.16055 + 0.00301 %
0x00000000000000000000000000000000000000,0,7521799,7537853,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,7537854,7553908,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1005,7553909,7570352,0.16055 + 0.00388 %
0x00000000000000000000000000000000000000,0,7570353,7586407,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2732,7586408,7603518,0.16055 + 0.01056 %
0x00000000000000000000000000000000000000,8,7603519,7619576,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,9,7619577,7635635,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,0,7635636,7651690,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,7651691,7667745,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,11,7667746,7683804,0.16055 + 0.00004 %
0x00000000000000000000000000000000000000,0,7683805,7699859,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,30,7699860,7715926,0.16055 + 0.00012 %
0x00000000000000000000000000000000000000,5,7715927,7731983,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,4937,7731984,7749946,0.16055 + 0.01908 %
